,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
325,서울특별시 관악구,남현동,-0.19,2,7.89,1,52.79,1,0
326,서울특별시 관악구,서원동,-7.2,5,2.11,1,67.69,2,1
327,서울특별시 관악구,신원동,-31.56,5,-7.44,2,77.31,3,1
328,서울특별시 관악구,서림동,-13.06,2,-8.65,2,65.56,2,1
329,서울특별시 관악구,신사동,-24.69,5,-9.46,2,64.54,3,1
330,서울특별시 관악구,신림동,0.57,0,-17.42,2,57.03,2,1
331,서울특별시 관악구,난향동,-42.05,5,-0.74,1,70.76,2,1
332,서울특별시 관악구,조원동,-43.68,1,-10.92,2,65.91,3,1
333,서울특별시 관악구,대학동,-18.65,3,-8.91,2,60.05,3,1
334,서울특별시 관악구,은천동,-1.12,3,-4.49,1,63.59,2,1
335,서울특별시 관악구,성현동,-4.09,5,-2.32,1,61.21,2,1
336,서울특별시 관악구,청룡동,-10.66,5,-3.94,2,72.17,2,1
337,서울특별시 관악구,난곡동,-1.57,5,-18.75,2,82.93,3,1
338,서울특별시 관악구,삼성동,-6.19,5,-15.16,2,89.92,3,1
